token,frequency,total,idf
future,208368,5940667,3.350270948389632
civil,208361,5940667,3.3503045433638268
lower,208157,5940667,3.351284092945414
competition,207512,5940667,3.3543875262910916
senior,207495,5940667,3.354469452620091
owned,207345,5940667,3.355192623030549
via,207287,5940667,3.3554723891864575
interest,207216,5940667,3.355814968133748
significant,207136,5940667,3.3562011132518794
ever,206773,5940667,3.3579551224329585
india,206707,5940667,3.358274363995116
introduced,206337,5940667,3.3600659411586498
arts,206040,5940667,3.3615063709175947
average,205963,5940667,3.3618801546079875
subsequently,205867,5940667,3.362346366402849
front,205678,5940667,3.363264856547485
academy,205489,5940667,3.3641841910918986
generally,204951,5940667,3.3668057694376974
ended,204813,5940667,3.367479327901678
science,204573,5940667,3.368651815614959
love,204565,5940667,3.3686909222244696
students,203983,5940667,3.3715400385765113
families,203530,5940667,3.3737632814501914
media,203017,5940667,3.376286976237147
becoming,202866,5940667,3.377031033056311
primary,202677,5940667,3.3779631167746014
finally,202600,5940667,3.378343103800396
1991,202409,5940667,3.379286292787108
1990,202184,5940667,3.3803985217341967
san,202112,5940667,3.380754696421857
1993,202096,5940667,3.38083386358336
kingdom,201840,5940667,3.382101391282177
stage,201618,5940667,3.383201877689212
met,201543,5940667,3.383573937490955
rock,201524,5940667,3.3836682146211294
limited,200959,5940667,3.386475788462176
studio,200498,5940667,3.3887724239804506
groups,200379,5940667,3.3893661223143305
committee,200356,5940667,3.3894809113895312
noted,200346,5940667,3.389530823793273
must,200340,5940667,3.389560772431361
light,200245,5940667,3.3900350787672497
strong,199532,5940667,3.3936020711454202
regular,199321,5940667,3.3946601051563636
additional,199174,5940667,3.3953978810715837
towards,199142,5940667,3.395558557519775
charles,198261,5940667,3.3999923511411767
allowed,197569,5940667,3.403488805199666
la,197529,5940667,3.4036912866100333
action,197524,5940667,3.403716599669295
thomas,196772,5940667,3.4075309975418406
already,196186,5940667,3.410513506789089
retired,196134,5940667,3.4107785965133166
human,195901,5940667,3.4119672660322857
stated,195670,5940667,3.413147128824972
track,195292,5940667,3.415080821192945
means,194859,5940667,3.417300475520514
entered,194825,5940667,3.4174749758853546
magazine,194660,5940667,3.4183222486166316
contains,194390,5940667,3.4197102452409576
language,194301,5940667,3.4201681925644376
better,194187,5940667,3.4207550832960547
female,194146,5940667,3.420966242276375
paul,194062,5940667,3.4213989999800334
annual,193775,5940667,3.422879003447404
lived,193697,5940667,3.423281613189804
schools,193435,5940667,3.424635156890663
books,192504,5940667,3.429459762882246
section,192367,5940667,3.4301716897657286
election,192277,5940667,3.430639654957659
mostly,192275,5940667,3.430650056671862
ground,192082,5940667,3.4316543314279926
rest,191436,5940667,3.4350231465081182
industry,191380,5940667,3.4353157152638625
organization,191212,5940667,3.4361939354608233
past,191108,5940667,3.436737982345973
complete,190830,5940667,3.4381937162561567
related,190577,5940667,3.4395203832397603
regional,190082,5940667,3.4421211376105316
50,189348,5940667,3.445990103773447
entire,189025,5940667,3.4476974141706456
writing,188976,5940667,3.447956672745488
indian,188516,5940667,3.450393811692466
1989,188353,5940667,3.4512588338097747
professor,188210,5940667,3.4520183349125064
teams,187985,5940667,3.4532145232022433
video,187780,5940667,3.4543056307845776
songs,187721,5940667,3.4546198776200616
famous,187696,5940667,3.4547530628516148
here,187474,5940667,3.4559365264862913
serving,187304,5940667,3.4568437302797874
countries,186113,5940667,3.4632226794898036
minister,185976,5940667,3.4639590624852206
associated,185951,5940667,3.464093497468632
date,185510,5940667,3.4664679066646973
particularly,184988,5940667,3.4692857375053356
winning,184860,5940667,3.4699779137783477
1988,184802,5940667,3.470291713955136
forces,184556,5940667,3.4716237551529647
higher,184530,5940667,3.4717646437265928
natural,184364,5940667,3.4726646313176333
starting,184107,5940667,3.4740595852851075
battle,183427,5940667,3.477759927435276
big,183390,5940667,3.4779616629062353
find,183320,5940667,3.4783434359740557
give,182894,5940667,3.4806699455676213
opening,182716,5940667,3.4816436608055183
awards,182468,5940667,3.483001880432474
michael,182439,5940667,3.4831608250406125
running,181651,5940667,3.487489431870711
selected,181642,5940667,3.487538978655272
leaving,181635,5940667,3.4875775167405396
gold,181491,5940667,3.4883706299163983
type,181408,5940667,3.488828057473086
traditional,181251,5940667,3.4896938846540357
location,180970,5940667,3.4912454239428694
week,180859,5940667,3.491858973456491
